Name,Year,duration,Rating,Meta_score,Votes,Director,cast,Gross,genre
The Shawshank Redemption,1994,142,9.3,80.0,2377480,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",28.34,Drama
The Godfather,1972,175,9.2,100.0,1646818,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",134.97,Crime
The Dark Knight,2008,152,9.0,84.0,2341261,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",534.86,Action
The Godfather: Part II,1974,202,9.0,90.0,1146666,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",57.3,Crime
12 Angry Men,1957,96,9.0,96.0,701882,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",4.36,Crime
The Lord of the Rings: The Return of the King,2003,201,8.9,94.0,1663902,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",377.85,Action
Pulp Fiction,1994,154,8.9,94.0,1852195,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",107.93,Crime
Schindler's List,1993,195,8.9,94.0,1229549,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",96.9,Biography
Inception,2010,148,8.8,74.0,2099854,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",292.58,Action
Fight Club,1999,139,8.8,66.0,1881336,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier",37.03,Drama
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1683989,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",315.54,Action
Forrest Gump,1994,142,8.8,82.0,1838908,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field",330.25,Drama
"Il buono, il brutto, il cattivo",1966,161,8.8,90.0,697056,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè",6.1,Western
The Lord of the Rings: The Two Towers,2002,179,8.7,87.0,1504615,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",342.55,Action
The Matrix,1999,136,8.7,73.0,1700513, Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",171.48,Action
Goodfellas,1990,146,8.7,90.0,1036656,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",46.84,Biography
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,1173214,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",290.48,Action
One Flew Over the Cuckoo's Nest,1975,133,8.7,83.0,929075,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco",112.0,Drama
Gisaengchung,2019,132,8.6,96.0,591108,Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho, Woo-sik Choi",53.37,Comedy
Soorarai Pottru,2020,153,8.6,,58433,Sudha Kongara,"Suriya, Madhavan, Aparna Balamurali, Paresh Rawal",,Drama
Interstellar,2014,169,8.6,74.0,1544204,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",188.02,Adventure
Cidade de Deus,2002,130,8.6,79.0,706471,tia Lund,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen",7.56,Crime
Sen to Chihiro no kamikakushi,2001,125,8.6,96.0,665106,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi",10.06,Animation
Saving Private Ryan,1998,169,8.6,91.0,1253851,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns",216.54,Drama
The Green Mile,1999,189,8.6,61.0,1166235,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt",136.8,Crime
La vita è bella,1997,116,8.6,,633126,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano",57.6,Comedy
Se7en,1995,127,8.6,65.0,1467956,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker",100.13,Crime
The Silence of the Lambs,1991,118,8.6,85.0,1290509,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons",130.74,Crime
Star Wars,1977,121,8.6,90.0,1245210,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",322.74,Action
Seppuku,1962,133,8.6,85.0,44169,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba",,Action
Shichinin no samurai,1954,207,8.6,98.0,319844,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",0.27,Action
It's a Wonderful Life,1946,130,8.6,89.0,410692,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",,Drama
Hamilton,2020,160,8.5,90.0,62258,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry",,Biography
Ratsasan,2018,170,8.5,,27340,Ram Kumar,"Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan",,Action
Whiplash,2014,106,8.5,88.0,732412,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",13.09,Drama
The Intouchables,2011,112,8.5,,773592,ric Toledano,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",13.18,Biography
The Prestige,2006,130,8.5,66.0,1208183,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",53.09,Drama
The Departed,2006,151,8.5,85.0,1206364,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",132.38,Crime
The Pianist,2002,150,8.5,85.0,743233,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox",32.57,Biography
Gladiator,2000,155,8.5,67.0,1358929,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",187.71,Action
American History X,1998,119,8.5,62.0,1045383,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",6.72,Drama
The Usual Suspects,1995,106,8.5,77.0,1002798,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin",23.34,Crime
Léon,1994,110,8.5,64.0,1050295,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",19.5,Action
The Lion King,1994,88,8.5,88.0,956036, Rob Minkoff,"Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg",422.78,Animation
Terminator 2: Judgment Day,1991,137,8.5,75.0,1006242,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",204.84,Action
Nuovo Cinema Paradiso,1988,155,8.5,80.0,234745,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli",11.99,Drama
Hotaru no haka,1988,89,8.5,94.0,240628,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara",,Animation
Back to the Future,1985,116,8.5,87.0,1074676,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",210.61,Adventure
Once Upon a Time in the West,1968,165,8.5,80.0,306436,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards",5.32,Western
Psycho,1960,109,8.5,97.0,612350,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin",32.0,Horror
Casablanca,1942,102,8.5,100.0,528248,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",1.02,Drama
Modern Times,1936,87,8.5,96.0,221338,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",0.16,Comedy
City Lights,1931,87,8.5,99.0,170185,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers",0.02,Comedy
Capharnaüm,2018,126,8.4,75.0,67115,Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad",1.66,Drama
Joker,2019,122,8.4,,981508,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",335.45,Crime
Ayla: The Daughter of War,2017,125,8.4,,35122,Can Ulkay,"Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol",,Biography
Vikram Vedha,2017,147,8.4,,29633, Pushkar,"Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir",,Action
Kimi no na wa.,2016,106,8.4,79.0,204600,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki",5.02,Animation
Dangal,2016,161,8.4,,160716,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",12.39,Action
Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,392622, Rodney Rothman,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",190.24,Animation
Avengers: Endgame,2019,181,8.4,78.0,856425, Joe Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",858.37,Action
Avengers: Infinity War,2018,149,8.4,68.0,865406, Joe Russo,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",678.82,Action
Coco,2017,105,8.4,81.0,399458, Adrian Molina,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",209.73,Animation
Django Unchained,2012,165,8.4,81.0,1379979,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",162.81,Drama
The Dark Knight Rises,2012,164,8.4,78.0,1536594,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",448.14,Action
3 Idiots,2009,170,8.4,67.0,350494,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",6.53,Comedy
Taare Zameen Par,2007,165,8.4,,172569, Amole Gupte,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma",1.22,Drama
WALL·E,2008,98,8.4,95.0,1013471,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",223.81,Animation
The Lives of Others,2006,137,8.4,89.0,363561,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur",11.29,Drama
Oldeuboi,2003,101,8.4,77.0,523556,wook Park,"Choi Min-sik, Yoo Ji-Tae, Kang Hye-jeong, Kim Byeong-Ok",0.71,Action
Memento,2000,113,8.4,80.0,1139186,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",25.54,Mystery
Mononoke-hime,1997,134,8.4,76.0,350015,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup",2.38,Animation
Once Upon a Time in America,1984,229,8.4,,316398,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams",5.32,Crime
Raiders of the Lost Ark,1981,115,8.4,85.0,893321,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies",248.16,Action
The Shining,1980,146,8.4,66.0,911811,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",44.02,Drama
Apocalypse Now,1979,147,8.4,94.0,614397,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest",83.47,Drama
Alien,1979,117,8.4,89.0,798486,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright",78.9,Horror
Tengoku to jigoku,1963,143,8.4,,35994,Akira Kurosawa,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa",,Crime
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,455511,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",0.28,Comedy
Witness for the Prosecution,1957,116,8.4,,111031,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",8.18,Crime
Paths of Glory,1957,88,8.4,90.0,181012,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready",,Drama
Rear Window,1954,112,8.4,100.0,449656,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",36.76,Mystery
Sunset Blvd.,1950,110,8.4,,204313,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",,Drama
The Great Dictator,1940,125,8.4,,205831,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner",0.29,Comedy
1917,2019,119,8.3,78.0,451579,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth",159.23,Drama
Tumbbad,2018,104,8.3,,29377, Adesh Prasad,"Sohum Shah, Jyoti Malshe, Anita Date, Ronjini Chakraborty",,Drama
Drishyam,2013,160,8.3,,34484,Jeethu Joseph,"Mohanlal, Meena, Asha Sharath, Ansiba",,Crime
Jagten,2012,115,8.3,77.0,289054,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",0.69,Drama
Jodaeiye Nader az Simin,2011,123,8.3,95.0,223654,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini",7.1,Drama
Incendies,2010,131,8.3,80.0,153877,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel",6.86,Drama
Dara iz Jasenovca,2020,130,8.3,,34230,Predrag Antonijevic,"Biljana Cekic, Zlatan Vidovic, Anja Stanic, Luka Saranovic",,Drama
The Father,2020,97,8.3,88.0,31071,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams",,Drama
Babam ve Oglum,2005,112,8.3,,80318,agan Irmak,"Eser Sariyar, Çetin Tekindor, Fikret Kuskan, Hümeyra",,Drama
Inglourious Basterds,2009,153,8.3,69.0,1289098,Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent",120.54,Adventure
Eternal Sunshine of the Spotless Mind,2004,108,8.3,89.0,922525,Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne",34.4,Drama
Amélie,2001,122,8.3,69.0,710836,Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta",33.23,Comedy
Snatch,2000,104,8.3,,790814,Guy Ritchie,"Jason Statham, Brad Pitt, Benicio Del Toro, Dennis Farina",30.33,Comedy
Requiem for a Dream,2000,102,8.3,68.0,776501,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",3.64,Drama
American Beauty,1999,122,8.3,84.0,1080567,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",130.1,Drama
Good Will Hunting,1997,126,8.3,70.0,874326,Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård",138.43,Drama
Bacheha-Ye aseman,1997,89,8.3,77.0,66782,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi",0.93,Drama
Toy Story,1995,81,8.3,95.0,899658,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",191.8,Animation
Braveheart,1995,178,8.3,68.0,968975,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen",75.6,Biography
Reservoir Dogs,1992,99,8.3,79.0,930834,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn",2.83,Crime
Full Metal Jacket,1987,116,8.3,76.0,683180,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin",46.36,Drama
Idi i smotri,1985,142,8.3,,61606,Elem Klimov,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas",,Drama
Aliens,1986,137,8.3,84.0,659860,James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",85.16,Action
Amadeus,1984,160,8.3,88.0,373240,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",51.97,Biography
Scarface,1983,170,8.3,65.0,753104,Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio",45.6,Crime
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,,961607,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",309.13,Action
Das Boot,1981,149,8.3,86.0,234564,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch",11.49,Adventure
The Sting,1973,129,8.3,83.0,244218,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning",159.6,Comedy
A Clockwork Orange,1971,136,8.3,77.0,766491,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",6.21,Crime
Anand,1971,122,8.3,,31160,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo",,Drama
2001: A Space Odyssey,1968,149,8.3,84.0,611364,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter",56.95,Adventure
Lawrence of Arabia,1962,228,8.3,100.0,271388,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",44.82,Adventure
The Apartment,1960,125,8.3,94.0,166773,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston",18.6,Comedy
North by Northwest,1959,136,8.3,98.0,302621,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",13.28,Adventure
Vertigo,1958,128,8.3,100.0,369404,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore",3.2,Mystery
Singin' in the Rain,1952,103,8.3,99.0,221961, Gene Kelly,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen",8.82,Comedy
Ikiru,1952,143,8.3,,69981,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka",0.06,Drama
Ladri di biciclette,1948,89,8.3,,149019,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri",0.33,Drama
Double Indemnity,1944,107,8.3,95.0,145495,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr",5.72,Crime
Citizen Kane,1941,119,8.3,100.0,409781,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead",1.59,Drama
M - Eine Stadt sucht einen Mörder,1931,117,8.3,,145557,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke",0.03,Crime
Metropolis,1927,153,8.3,98.0,162045,Fritz Lang,"Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge",1.24,Drama
The Kid,1921,68,8.3,,115516,Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller",5.45,Comedy
Chhichhore,2019,143,8.2,,35256,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik",0.9,Comedy
Uri: The Surgical Strike,2018,138,8.2,,44302,Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam",4.19,Action
Andhadhun,2018,139,8.2,,74693,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan",1.37,Crime
K.G.F: Chapter 1,2018,156,8.2,,38533,Prashanth Neel,"Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois",,Action
Green Book,2018,130,8.2,69.0,397016,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",85.08,Biography
Talvar,2015,132,8.2,,31606,Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah",0.34,Crime
Baahubali 2: The Conclusion,2017,167,8.2,,76548, Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",20.19,Action
Klaus,2019,96,8.2,65.0,110478,pez,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso",,Animation
Drishyam,2015,163,8.2,,72556,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor",0.74,Crime
Queen,2013,146,8.2,,61207,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho",1.43,Adventure
Mandariinid,2013,87,8.2,73.0,41960,Zaza Urushadze,"Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze, Misha Meskhi",0.14,Drama
Bhaag Milkha Bhaag,2013,186,8.2,,61696,Rakeysh Omprakash Mehra,"Farhan Akhtar, Sonam Kapoor, Pawan Malhotra, Art Malik",1.63,Biography
Gangs of Wasseypur,2012,321,8.2,89.0,83866,Anurag Kashyap,"Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia",,Action
Udaan,2010,134,8.2,,42695,Vikramaditya Motwane,"Rajat Barmecha, Ronit Roy, Manjot Singh, Ram Kapoor",0.01,Drama
Paan Singh Tomar,2012,135,8.2,,33576,Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya",0.04,Action
Zindagi Na Milegi Dobara,2011,155,8.2,,68888,Zoya Akhtar,"Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif",3.11,Comedy
El secreto de sus ojos,2009,129,8.2,80.0,195935, Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo",6.39,Drama
Warrior,2011,140,8.2,71.0,440611,Connor,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison",13.66,Action
Shutter Island,2010,138,8.2,63.0,1151166,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley",128.01,Mystery
Up,2009,96,8.2,88.0,948199, Bob Peterson,"Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",293.0,Animation
Miracle in Cell No. 7,2019,132,8.2,,37859,ztekin,"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal",,Drama
The Wolf of Wall Street,2013,180,8.2,75.0,1213630,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",116.9,Biography
Chak De! India,2007,153,8.2,68.0,74831,Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla",1.11,Drama
There Will Be Blood,2007,158,8.2,93.0,525948,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer",40.22,Drama
Pan's Labyrinth,2006,118,8.2,98.0,625032,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú",37.63,Drama
Toy Story 3,2010,103,8.2,92.0,766130,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",415.0,Animation
V for Vendetta,2005,132,8.2,62.0,1043821,James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea",70.51,Action
Rang De Basanti,2006,167,8.2,,113257,Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi",2.2,Comedy
Black,2005,122,8.2,,33560,Sanjay Leela Bhansali,"Amitabh Bachchan, Rani Mukerji, Shernaz Patel, Ayesha Kapoor",0.73,Drama
Batman Begins,2005,140,8.2,70.0,1325535,Christopher Nolan,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson",206.85,Action
"Swades: We, the People",2004,210,8.2,,83837,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smit Sheth",1.22,Drama
Der Untergang,2004,156,8.2,82.0,334782,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler",5.51,Biography
Hauru no ugoku shiro,2004,119,8.2,80.0,341942,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa",4.71,Animation
A Beautiful Mind,2001,135,8.2,72.0,860189,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",170.74,Biography
Hera Pheri,2000,156,8.2,,57925,Priyadarshan,"Akshay Kumar, Sunil Shetty, Paresh Rawal, Tabu",,Action
"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66.0,541608,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",3.9,Action
L.A. Confidential,1997,138,8.2,90.0,538021,Curtis Hanson,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger",64.62,Crime
Eskiya,1996,128,8.2,,65165,Yavuz Turgul,"Sener Sen, Ugur Yücel, Sermin Hürmeriç, Yesim Salkim",,Crime
Heat,1995,170,8.2,76.0,586350,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",67.44,Crime
Casino,1995,178,8.2,73.0,473378,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods",42.44,Crime
Andaz Apna Apna,1994,160,8.2,,49686,Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor",,Action
Unforgiven,1992,130,8.2,85.0,380588,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris",101.16,Drama
Indiana Jones and the Last Crusade,1989,127,8.2,65.0,699161,Steven Spielberg,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott",197.17,Action
Dom za vesanje,1988,142,8.2,,27749,Emir Kusturica,"Davor Dujmovic, Bora Todorovic, Ljubica Adzovic, Husnija Hasimovic",0.28,Comedy
Tonari no Totoro,1988,86,8.2,86.0,297787,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi",1.11,Animation
Die Hard,1988,132,8.2,72.0,801182,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",83.01,Action
Ran,1985,162,8.2,96.0,114562,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû",4.14,Action
Raging Bull,1980,129,8.2,89.0,325819,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent",23.38,Biography
Stalker,1979,162,8.2,,119437,Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko",0.23,Drama
Höstsonaten,1978,99,8.2,,28262,Ingmar Bergman,"Ingrid Bergman, Liv Ullmann, Lena Nyman, Halvar Björk",,Drama
Taxi Driver,1976,114,8.2,94.0,736567,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks",28.26,Crime
The Message,1976,177,8.2,,44375,Moustapha Akkad,"Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka",,Biography
