Name,Year,duration,Rating,Meta_score,Votes,Director,cast,Gross,genre
Zombieland,2009,88,7.6,73.0,524767,Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin",75.59,Adventure
Die Welle,2008,107,7.6,,103885,Dennis Gansel,"Jürgen Vogel, Frederick Lau, Max Riemelt, Jennifer Ulrich",,Drama
Sherlock Holmes,2009,128,7.6,,588075,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",209.03,Action
The Blind Side,2009,129,7.6,,297144,John Lee Hancock,"Quinton Aaron, Sandra Bullock, Tim McGraw, Jae Head",255.96,Biography
Seven Pounds,2008,123,7.6,,288937,Gabriele Muccino,"Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy",69.95,Drama
Eastern Promises,2007,100,7.6,82.0,230068,David Cronenberg,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin",17.11,Action
Stardust,2007,127,7.6,66.0,257488,Matthew Vaughn,"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen",38.63,Adventure
The Secret of Kells,2009,71,7.6,81.0,32586, Nora Twomey,"Evan McGuire, Brendan Gleeson, Mick Lally, Christen Mooney",0.69,Animation
Inside Man,2006,129,7.6,76.0,345002,Spike Lee,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer",88.51,Crime
Gone Baby Gone,2007,114,7.6,72.0,253372,Ben Affleck,"Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan",20.3,Crime
La Vie En Rose,2007,140,7.6,66.0,83389,Olivier Dahan,"Marion Cotillard, Sylvie Testud, Pascal Greggory, Emmanuelle Seigner",10.3,Biography
Huo Yuan Jia,2006,104,7.6,70.0,73243,Ronny Yu,"Jet Li, Li Sun, Yong Dong, Yun Qu",24.63,Action
The Illusionist,2006,110,7.6,68.0,356926,Neil Burger,"Edward Norton, Jessica Biel, Paul Giamatti, Rufus Sewell",39.87,Drama
Dead Man's Shoes,2004,90,7.6,,50187,Shane Meadows,"Paddy Considine, Gary Stretch, Toby Kebbell, Stuart Wolfenden",0.01,Crime
Harry Potter and the Half-Blood Prince,2009,153,7.6,78.0,483128,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",301.96,Action
300,2006,117,7.6,,740230,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West",210.61,Action
Match Point,2005,124,7.6,72.0,207864,Woody Allen,"Scarlett Johansson, Jonathan Rhys Meyers, Emily Mortimer, Matthew Goode",23.09,Drama
Watchmen,2009,162,7.6,,511294,Zack Snyder,"Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman",107.51,Action
Lord of War,2005,122,7.6,62.0,296412,Andrew Niccol,"Nicolas Cage, Ethan Hawke, Jared Leto, Bridget Moynahan",24.15,Action
Saw,2004,103,7.6,,382866,James Wan,"Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung",56.0,Horror
"Synecdoche, New York",2008,124,7.6,67.0,84548,Charlie Kaufman,"Philip Seymour Hoffman, Samantha Morton, Michelle Williams, Catherine Keener",3.08,Drama
Mysterious Skin,2004,105,7.6,73.0,66351,Gregg Araki,"Brady Corbet, Joseph Gordon-Levitt, Elisabeth Shue, Chase Ellison",0.7,Drama
Un long dimanche de fiançailles,2004,133,7.6,76.0,71282,Pierre Jeunet,"Audrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon",6.17,Drama
The Station Agent,2003,89,7.6,81.0,67758,Tom McCarthy,"Peter Dinklage, Patricia Clarkson, Bobby Cannavale, Paul Benjamin",5.74,Comedy
21 Grams,2003,124,7.6,70.0,226166,rritu,"Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston",16.29,Crime
Boksuneun naui geot,2002,129,7.6,,63579,wook Park,"Kang-ho Song, Shin Ha-kyun, Bae Doona, Ji-Eun Lim",0.05,Crime
Finding Neverland,2004,106,7.6,67.0,199859,Marc Forster,"Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell",51.68,Biography
25th Hour,2002,135,7.6,68.0,170804,Spike Lee,"Edward Norton, Barry Pepper, Philip Seymour Hoffman, Rosario Dawson",13.06,Drama
The Butterfly Effect,2004,113,7.6,,455208, Mackye Gruber,"Ashton Kutcher, Amy Smart, Melora Walters, Elden Henson",57.94,Drama
28 Days Later...,2002,113,7.6,73.0,380396,Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer",45.06,Drama
Batoru rowaiaru,2000,114,7.6,81.0,170496,Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto, Takeshi Kitano",,Action
The Royal Tenenbaums,2001,110,7.6,76.0,270083,Wes Anderson,"Gene Hackman, Gwyneth Paltrow, Anjelica Huston, Ben Stiller",52.36,Comedy
Y tu mamá también,2001,106,7.6,88.0,116908,n,"Maribel Verdú, Gael García Bernal, Daniel Giménez Cacho, Ana López Mercado",13.62,Drama
